SequenceNum,UUID,UpdateDT,FullName,Description,CustomerType,Password
000001,f7577b67-f5c8-4356-9857-aac4c4f5d546,2020-10-15T16:24:24.351659000,Full Name for 000001,Description for user with id: 000001,diamond,evHZ9ZKj7mNk3
000002,7f1a3d73-0373-490b-8610-219afbb6de94,2020-10-15T16:24:24.358222400,Full Name for 000002,Description for user with id: 000002,silver,XdK6TvRpPEPxY
000003,71a39fe8-f135-45ef-bd1b-fbfd4c6fc5e6,2020-10-15T16:24:24.365540500,Full Name for 000003,Description for user with id: 000003,gold,zMSAafmBtnfTA
000004,8065341f-8329-442b-9cba-36db9c7050e7,2020-10-15T16:24:24.373360900,Full Name for 000004,Description for user with id: 000004,bronze,xURRE4QGJK8Jw
000005,d5f8d34c-2be0-441b-b38d-e636cb783ed1,2020-10-15T16:24:24.381023400,Full Name for 000005,Description for user with id: 000005,diamond,1qIKEc1Bqpa4f
000006,a5108e41-2f91-4b9f-ad02-c42767203570,2020-10-15T16:24:24.388977600,Full Name for 000006,Description for user with id: 000006,silver,d8qR9sYbO0k8p
000007,0afd442a-dff8-4d91-ae6f-ee813a018d9e,2020-10-15T16:24:24.396376600,Full Name for 000007,Description for user with id: 000007,platinum,Vmm0A0KuWHxsV
000008,96615983-0599-4c77-82a2-4a75810b2c97,2020-10-15T16:24:24.404099800,Full Name for 000008,Description for user with id: 000008,diamond,u5XDI5kQyfF5k
000009,e1976b48-f619-42bf-af9a-cb8150924054,2020-10-15T16:24:24.411724900,Full Name for 000009,Description for user with id: 000009,platinum,Btcno0sJfYh2W
000010,d6af3197-af78-4a10-b57f-2328e649191f,2020-10-15T16:24:24.419416900,Full Name for 000010,Description for user with id: 000010,bronze,aUD8Wl85uFCCx
000011,3fd4923d-f78d-444c-8d3a-f8b9c0a9f6bc,2020-10-15T16:24:24.427270100,Full Name for 000011,Description for user with id: 000011,gold,GLlDMT4nJfKWc
000012,5fa41e6c-d012-49cc-9b61-553172d8585c,2020-10-15T16:24:24.435050500,Full Name for 000012,Description for user with id: 000012,gold,VSkmIBSC9oVIK
000013,097cbd01-2fdb-42ba-aa8f-81e495271dee,2020-10-15T16:24:24.442610800,Full Name for 000013,Description for user with id: 000013,diamond,TW5s4H5L6TEUM
000014,a998fd71-8ed7-47f0-bc1b-654418e1f5f1,2020-10-15T16:24:24.450324300,Full Name for 000014,Description for user with id: 000014,diamond,OsdZCBYb8lxqe
000015,02db4247-349d-42c2-b0a7-b4d545244772,2020-10-15T16:24:24.457992000,Full Name for 000015,Description for user with id: 000015,silver,omUws4Nq63mJ7
000016,e6578510-3e90-4963-bb78-c877e4c6dfa8,2020-10-15T16:24:24.465864500,Full Name for 000016,Description for user with id: 000016,platinum,5BjLAfBbnPid5
000017,316ff4d9-9dc0-47c1-b801-4477d65a283f,2020-10-15T16:24:24.473628500,Full Name for 000017,Description for user with id: 000017,silver,gKyl9szRM5xSJ
000018,9590097b-504e-4cbf-9330-91a050732467,2020-10-15T16:24:24.481608300,Full Name for 000018,Description for user with id: 000018,bronze,Mj8fJVGHMbNpX
000019,42f3c8f8-4bd9-4f5a-b5a2-5d55ac6ac6e6,2020-10-15T16:24:24.489195000,Full Name for 000019,Description for user with id: 000019,platinum,gXhRVfok1Qa4K
000020,79de699c-8d4f-49d9-9c5f-d4b3452ba8f6,2020-10-15T16:24:24.497077800,Full Name for 000020,Description for user with id: 000020,platinum,rUzRB1EgrmcLq
